word_id,english_word,word_type,turkish_meaning,category_1,category_2,category_3,english_level,sample_sentence_en,sample_sentence_tr,is_known
2806,slope,noun,eğim,Oxford-3000, , ,B2,The roof is at a slope (= at an angle to a horizontal surface) of 30°.,Çatı 30°'lik bir eğime (= yatay bir yüzeye açılı) sahiptir.,0
2807,soul,noun,ruh,Oxford-3000, , ,B2,She suffered greatly while she was alive; so let us hope her soul is now at peace.,O; hayattayken çok acılar çekmişti; umarız ruhu şimdi huzur içindedir.,0
2808,specialist,noun,uzman,Oxford-3000, , ,B2,She's a specialist in modern French literature.,Kendisi modern Fransız edebiyatı uzmanıdır.,0
2809,species,noun,türler,Oxford-3000, , ,B2,The mountain gorilla is an endangered species.,Dağ gorili nesli tükenme tehlikesi altında olan bir türdür.,0
2810,status,noun,durum,Oxford-3000, , ,B2,The association works to promote the status of retired people as useful members of the community.,Dernek; emeklilerin topluma yararlı bireyler olarak statülerinin yükseltilmesi için çalışmaktadır.,0
2811,steel,noun,çelik,Oxford-3000, , ,B2,This new copper exceeds the strength of the best commercial steels made today.,Bu yeni bakır; günümüzde üretilen en iyi ticari çeliklerin dayanıklılığını aşıyor.,0
2812,stock,noun,stoklamak,Oxford-3000, , ,B2,It is now halfway through winter and food stocks are already low.,Kış mevsiminin yarısına gelindi ve gıda stokları şimdiden azaldı.,0
2813,stream,noun,aktarım,Oxford-3000, , ,B2,There's a bubbling stream that flows through their property.,Mülklerinin içinden akan bir dere var.,0
2814,sum,noun,toplam,Oxford-3000, , ,B2,Huge sums of money are spent on national defence.,Milli savunmaya büyük paralar harcanıyor.,0
2815,surgery,noun,ameliyat,Oxford-3000, , ,B2,The patient had/underwent surgery on his heart.,Hasta kalbinden ameliyat olmuştu.,0
2816,sympathy,noun,sempati,Oxford-3000, , ,B2,The president has sent a message of sympathy to the relatives of the dead soldiers.,Cumhurbaşkanı; hayatını kaybeden askerlerin yakınlarına başsağlığı mesajı gönderdi.,0
2817,tale,noun,masal,Oxford-3000, , ,B2,He told some fascinating tales about his life in India.,Hindistan'daki yaşamıyla ilgili ilginç hikayeler anlattı.,0
2818,tank,noun,tank,Oxford-3000, , ,B2,Parking your tanks on a rival's lawn is rarely seen as a friendly act.,Tanklarınızı rakip sahanın üzerine park etmek nadiren dostça bir davranış olarak görülür.,0
2819,therapy,noun,terapi,Oxford-3000, , ,B2,Joining a club can be a therapy for loneliness.,Bir kulübe katılmak yalnızlığa karşı bir terapi olabilir.,0
2820,threat,noun,tehdit,Oxford-3000, , ,B2,Her parents carried out their threat to take away her mobile phone if her grades didn't improve.,Notları düzelmezse cep telefonunu elinden alacakları tehdidini anne ve babası yerine getirdi.,0
2821,tone,noun,ton,Oxford-3000, , ,B2,I tried to use a sympathetic tone of voice.,Sempatik bir ses tonu kullanmaya çalıştım.,0
2822,transition,noun,geçiş,Oxford-3000, , ,B2,The health-care system is in transition at the moment.,Sağlık sistemi şu anda bir geçiş sürecinden geçiyor.,0
2823,trial,noun,duruşma,Oxford-3000, , ,B2,Trial by jury is a fundamental right.,Jürili yargılama temel bir haktır.,0
2824,tune,noun,melodi,Oxford-3000, , ,B2,He was humming a tune as he dried the dishes.,Bulaşıkları kurularken bir şarkı mırıldanıyordu.,0
2825,tunnel,noun,tünel,Oxford-3000, , ,B2,The train went into the tunnel.,Tren tünele girdi.,0
2826,universe,noun,evren,Oxford-3000, , ,B2,Is there intelligent life elsewhere in the universe?,Evrenin başka yerlerinde akıllı yaşam var mı?,0
2827,urge,noun,dürtü,Oxford-3000, , ,B2,The two of them seem unable to control their sexual urges.,İkisi de cinsel dürtülerini kontrol edemiyor gibi görünüyor.,0
2828,venue,noun,mekan,Oxford-3000, , ,B2,The hotel is an ideal venue for conferences and business meetings.,Otel konferans ve iş toplantıları için ideal bir mekandır.,0
2829,victory,noun,zafer,Oxford-3000, , ,B2,This result is a triumphant victory for democracy.,Bu sonuç demokrasi adına zafer niteliğindedir.,0
2830,violence,noun,şiddet,Oxford-3000, , ,B2,The recent outbreak/eruption of racial violence in the area is very troubling.,Bölgede son zamanlarda ortaya çıkan ırkçı şiddet olayları oldukça endişe verici.,0
2831,vision,noun,görüş,Oxford-3000, , ,B2,We see in his novels his sinister; almost apocalyptic; vision of the future.,Romanlarında onun uğursuz; neredeyse kıyametvari gelecek vizyonunu görüyoruz.,0
2832,vitamin,noun,vitamin,Oxford-3000, , ,B2,Oranges are full of vitamin C.,Portakal C vitamini açısından zengindir.,0
2833,volume,noun,hacim,Oxford-3000, , ,B2,Which of these bottles do you think has a greater volume?,Sizce bu şişelerden hangisinin hacmi daha büyüktür?,0
2834,wage,noun,maaş,Oxford-3000, , ,B2,The job pays very low wages.,İşin maaşı çok düşük.,0
2835,weakness,noun,zayıflık,Oxford-3000, , ,B2,Any change of policy will be interpreted as a sign of weakness.,Politikada yapılacak her türlü değişiklik; zayıflık işareti olarak yorumlanacaktır.,0
2836,wealth,noun,varlık,Oxford-3000, , ,B2,During a successful business career; she accumulated a great amount of wealth.,Başarılı bir iş hayatı boyunca büyük bir servet biriktirdi.,0
2837,wildlife,noun,yaban hayatı,Oxford-3000, , ,B2,Wildlife in the area includes deer; bears; and raccoons.,Bölgedeki yaban hayatı geyik; ayı ve rakun gibi hayvanları kapsamaktadır.,0
2838,wire,noun,tel,Oxford-3000, , ,B2,Someone had cut the phone wires.,Birisi telefon kablolarını kesmişti.,0
2839,witness,noun,tanık,Oxford-3000, , ,B2,According to witnesses; the robbery was carried out by two teenage boys.,Görgü tanıklarının ifadesine göre; soygunu iki genç erkek gerçekleştirdi.,0
2840,wound,noun,yara,Oxford-3000, , ,B2,He died from multiple stab wounds to the neck and upper body.,Boynuna ve vücudunun üst kısmına aldığı çok sayıda bıçak darbesiyle hayatını kaybetti.,0
2841,zone,noun,alan,Oxford-3000, , ,B2,He was charged with driving at 75 mph in a 55 mph zone.,55 mil hız sınırı olan bölgede 75 mil hızla araç kullanmakla suçlandı.,0
2842,beyond,preposition,öte,Oxford-3000, , ,B2,In the distance; beyond the river; was a small town.,Uzakta; nehrin ötesinde; küçük bir kasaba vardı.,0
2843,via,preposition,aracılığıyla,Oxford-3000, , ,B2,The London to Cairo flight goes via Rome.,Londra'dan Kahire'ye uçuş Roma üzerinden gerçekleştiriliyor.,0
2844,whom,pronoun,kime,Oxford-3000,,,B2,To whom should I address this letter,Bu mektubu kime hitaben yazmalıyım?,0
2845,abandon,verb,terk etmek,Oxford-3000, , ,B2,We had to abandon the car.,Arabayı terk etmek zorunda kaldık.,0
2846,accompany,verb,eşlik etmek,Oxford-3000, , ,B2,Would you like me to accompany you to your room?,Odanıza kadar size eşlik etmemi ister misiniz?,0
2847,accuse,verb,suçlamak,Oxford-3000, , ,B2,He's been accused of robbery/murder.,Soygun/cinayetle suçlanıyor.,0
2848,acknowledge,verb,kabullenmek,Oxford-3000, , ,B2,Historians generally acknowledge her as a genius in her field.,Tarihçiler onu genellikle kendi alanında bir dahi olarak kabul ederler.,0
2849,acquire,verb,elde etmek,Oxford-3000, , ,B2,From humble beginnings he went on to acquire great wealth.,Mütevazı bir başlangıçtan büyük bir servete kavuştu.,0
2850,adapt,verb,uyum sağlamak,Oxford-3000, , ,B2,Davies is busy adapting Brinkworth's latest novel for television.,Davies; Brinkworth'un son romanını televizyona uyarlamakla meşgul.,0
2851,adopt,verb,evlat edinmek,Oxford-3000, , ,B2,They've adopted a baby girl.,Bir kız çocuğu evlat edindiler.,0
2852,advance,verb,ilerlemek,Oxford-3000, , ,B2,The fire advanced steadily through the forest.,Yangın ormanın içinde istikrarlı bir şekilde ilerliyordu.,0
2853,alter,verb,değiştirmek,Oxford-3000, , ,B2,We've had to alter some of our plans.,Planlarımızın bir kısmını değiştirmek zorunda kaldık.,0
2854,approach,verb,yaklaşmak,Oxford-3000, , ,B2,We could just see the train approaching in the distance.,Uzaktan trenin yaklaştığını görebiliyorduk.,0
2855,approve,verb,onaylamak,Oxford-3000, , ,B2,She doesn't approve of my friends.,Arkadaşlarımı onaylamıyor.,0
2856,arise,verb,kalkmak,Oxford-3000, , ,B2,If the opportunity arises; I'd love to go to China.,Fırsat olursa Çin'e gitmeyi çok isterim.,0
2857,assess,verb,değer biçmek,Oxford-3000,,,B2,We need to assess the situation,Durumu değerlendirmemiz gerekiyor,0
2858,associate,verb,iş arkadaşı,Oxford-3000, , ,B2,Most people associate this brand with good quality.,Çoğu kişi bu markayı kaliteyle ilişkilendirir.,0
2859,assume,verb,farz etmek,Oxford-3000, , ,B2,We mustn't assume the suspects' guilt.,Şüphelilerin suçlu olduğunu varsaymamalıyız.,0
2860,attempt,verb,girişim,Oxford-3000, , ,B2,He attempted to escape through a window.,Pencereden kaçmaya çalıştı.,0
2861,bear (deal with),verb,ayı (ile uğraşmak),Oxford-3000,,,B2,I cannot bear the pain,Acıya dayanamıyorum,0
2862,beg,verb,yalvarmak,Oxford-3000, , ,B2,They begged for mercy.,Merhamet dilediler.,0
2863,bent,verb,bükülmüş,Oxford-3000, , ,B2,The metal bars were bent and twisted.,Metal çubuklar eğilip bükülmüştü.,0
2864,bet,verb,bahis,Oxford-3000, , ,B2,He regularly goes to the races and bets heavily.,Düzenli olarak yarışlara gidiyor ve bolca bahis oynuyor.,0
2865,blame,verb,suçlamak,Oxford-3000, , ,B2,Don't blame me (= it is not my fault) if you miss the bus!,Otobüsü kaçırırsanız beni suçlamayın (= benim hatam değil)!,0
2866,broadcast,verb,yayın,Oxford-3000, , ,B2,Radio Caroline used to broadcast from a boat in the North Sea.,Radio Caroline; Kuzey Denizi'ndeki bir tekneden yayın yapıyordu.,0
2867,calculate,verb,hesaplamak,Oxford-3000, , ,B2,The cost of the damage caused by the recent storms has been calculated as/at over £5 million.,Son fırtınaların yol açtığı hasarın maliyetinin 5 milyon sterlinin üzerinde olduğu hesaplandı.,0
2868,cancel,verb,iptal etmek,Oxford-3000, , ,B2,They had to cancel tomorrow's game because of the bad weather.,Kötü hava koşulları nedeniyle yarınki maçı iptal etmek zorunda kaldılar.,0
2869,capture,verb,esir almak,Oxford-3000, , ,B2,Two of the soldiers were killed and the rest were captured.,Askerlerden ikisi öldürüldü; diğerleri esir alındı.,0
2870,cite,verb,alıntı,Oxford-3000,,,B2,Please cite your sources,Lütfen kaynaklarınızı belirtin,0
2871,collapse,verb,yıkılmak,Oxford-3000, , ,B2,Thousands of buildings collapsed in the earthquake.,Depremde binlerce bina çöktü.,0
2872,commission,verb,komisyon,Oxford-3000, , ,B2,The newspaper commissioned a series of articles on the worst excesses of the fashion industry.,Gazete; moda sektörünün en kötü aşırılıklarını konu alan bir dizi makale sipariş etti.,0
2873,concern,verb,kaygı,Oxford-3000, , ,B2,The state of my father's health concerns us greatly.,Babamın sağlık durumu bizi çok endişelendiriyor.,0
2874,conduct,verb,yönetmek,Oxford-3000, , ,B2,We are conducting a survey to find out what our customers think of their local bus service.,Müşterilerimizin yerel otobüs hizmetleri hakkında ne düşündüklerini öğrenmek için bir anket düzenliyoruz.,0
2875,construct,verb,inşa etmek,Oxford-3000, , ,B2,The walls are constructed of concrete.,Duvarlar betondan yapılmıştır.,0
2876,contribute,verb,katkı yapmak,Oxford-3000, , ,B2,Aren't you going to contribute towards Jack's leaving present?,Jack'in ayrılış hediyesi için katkıda bulunmayacak mısın?,0
2877,convert,verb,dönüştürmek,Oxford-3000, , ,B2,What's the formula for converting pounds into kilograms?,Pound'u kilograma dönüştürmenin formülü nedir?,0
2878,crash,verb,kaza,Oxford-3000, , ,B2,We skidded on the ice and crashed.,Buzda kaydık ve düştük.,0
2879,criticize,verb,eleştirmek,Oxford-3000, , ,B2,The government is being widely criticized in the media for failing to limit air pollution.,Hükümet; hava kirliliğini sınırlamadaki başarısızlığı nedeniyle medyada yoğun eleştirilere maruz kalıyor.,0
2880,cure,verb,tedavi,Oxford-3000, , ,B2,At one time doctors couldn't cure people of TB.,Bir zamanlar doktorlar veremden hastaları iyileştiremiyordu.,0
2881,declare,verb,ilan etmek,Oxford-3000, , ,B2,They declared their support for the proposal,Öneriye desteklerini açıkladılar,0
2882,decline,verb,reddetmek,Oxford-3000, , ,B2,His interest in the project declined after his wife died.,Eşinin vefatından sonra projeye olan ilgisi azaldı.,0
2883,decrease,verb,azaltmak,Oxford-3000, , ,B2,Our share of the market has decreased sharply this year.,Bu yıl pazar payımız ciddi oranda azaldı.,0
2884,defeat,verb,yenmek,Oxford-3000, , ,B2,Napoleon was defeated by the Duke of Wellington at the battle of Waterloo.,Napolyon; Waterloo Savaşı'nda Wellington Dükü tarafından yenildi.,0
2885,defend,verb,savunmak,Oxford-3000, , ,B2,How can we defend our homeland if we don't have an army?,Ordumuz olmazsa vatanımızı nasıl savunacağız?,0
2886,delay,verb,gecikme,Oxford-3000, , ,B2,My plane was delayed by an hour.,Uçağım bir saat gecikti.,0
2887,demand,verb,talep etmek,Oxford-3000, , ,B2,I demanded an explanation.,Bir açıklama talep ettim.,0
2888,demonstrate,verb,göstermek,Oxford-3000, , ,B2,These numbers clearly demonstrate the size of the economic problem facing the country.,Bu rakamlar ülkenin karşı karşıya olduğu ekonomik sorunun boyutunu açıkça ortaya koymaktadır.,0
2889,deny,verb,reddetmek,Oxford-3000, , ,B2,He said the police assaulted him while he was in custody; a claim which the police deny.,Gözaltındayken polisin kendisine saldırdığını söyleyen sanık; polisin bu iddiayı reddettiğini belirtti.,0
2890,deserve,verb,hak etmek,Oxford-3000, , ,B2,After all that hard work; you deserve a holiday.,Bütün bu sıkı çalışmalardan sonra; bir tatili hak ettiniz.,0
2891,desire,verb,arzu,Oxford-3000, , ,B2,I desire only to be left in peace.,Ben sadece rahat bırakılmak istiyorum.,0
2892,detect,verb,tespit etmek,Oxford-3000, , ,B2,Some sounds cannot be detected by the human ear.,Bazı sesler insan kulağı tarafından algılanamaz.,0
2893,dig,verb,kazmak,Oxford-3000, , ,B2,Digging (in) the garden is good exercise.,Bahçeyi kazmak iyi bir egzersizdir.,0
2894,dismiss,verb,azletmek,Oxford-3000, , ,B2,I think he'd dismissed me as an idiot within five minutes of meeting me.,Sanırım benimle tanıştıktan beş dakika sonra beni aptal olarak nitelendirmişti.,0
2895,display,verb,görüntülemek,Oxford-3000, , ,B2,Family photographs were displayed on the wall.,Duvarda aile fotoğrafları sergileniyordu.,0
2896,distribute,verb,dağıtmak,Oxford-3000,,,B2,We will distribute the flyers tomorrow,Yarın broşürleri dağıtacağız.,0
2897,dominate,verb,hakim olmak,Oxford-3000, , ,B2,He refuses to let others speak and dominates every meeting.,Başkalarının konuşmasına izin vermiyor ve her toplantıya hakim oluyor.,0
2898,drag,verb,sürüklemek,Oxford-3000, , ,B2,Pick the chair up instead of dragging it behind you!,Sandalyeyi arkanızdan sürüklemek yerine yerden kaldırın!,0
2899,edit,verb,düzenlemek,Oxford-3000, , ,B2,Janet edited books for a variety of publishers.,Janet çeşitli yayıncılar için kitap editörlüğü yaptı.,0
2900,elect,verb,seçilmiş,Oxford-3000, , ,B2,The President is elected for a four-year term of office.,Cumhurbaşkanı dört yıllık bir görev süresi için seçilir.,0
2901,emerge,verb,meydana gelmek,Oxford-3000, , ,B2,She emerged from the sea; blue with cold.,Denizden çıktı; soğuktan mosmor.,0
2902,emphasize,verb,vurgu,Oxford-3000, , ,B2,I'd just like to emphasize how important it is for people to learn foreign languages.,Yabancı dil öğrenmenin insanlar için ne kadar önemli olduğunu vurgulamak istiyorum.,0
2903,enable,verb,olanak vermek,Oxford-3000, , ,B2,It is wrong to enable or support any addict to become re-addicted to any drug.,Herhangi bir bağımlının herhangi bir maddeye tekrar bağımlı olmasını sağlamak veya desteklemek yanlıştır.,0
2904,engage,verb,angaje etmek,Oxford-3000, , ,B2,I have engaged a secretary to deal with all my paperwork.,Tüm evrak işlerimi halletmesi için bir sekreter tuttum.,0
2905,enhance,verb,genişletmek,Oxford-3000, , ,B2,These scandals will not enhance the organization's reputation.,Bu skandallar örgütün itibarını artırmayacak.,0
2906,ensure,verb,emin olmak,Oxford-3000, , ,B2,The airline is taking steps to ensure safety on its aircraft.,Havayolu şirketi uçaklarında güvenliği sağlamak için adımlar atıyor.,0
2907,establish,verb,kurmak,Oxford-3000, , ,B2,The brewery was established in 1822.,Bira fabrikası 1822 yılında kuruldu.,0
2908,estimate,verb,tahmin etmek,Oxford-3000, , ,B2,Government sources estimate a long-term 50 percent increase in rail fares.,Hükümet kaynakları; uzun vadede demiryolu ücretlerinde yüzde 50 oranında bir artış olacağını tahmin ediyor.,0
2909,evaluate,verb,değerlendirmek,Oxford-3000, , ,B2,It's impossible to evaluate these results without knowing more about the research methods employed.,Kullanılan araştırma yöntemleri hakkında daha fazla bilgi sahibi olmadan bu sonuçları değerlendirmek imkansızdır.,0
2910,excuse,verb,mazeret,Oxford-3000, , ,B2,Please excuse me for arriving late - the bus was delayed.,Geç geldiğim için lütfen beni mazur görün - otobüs gecikti.,0
2911,expose,verb,ortaya çıkarmak,Oxford-3000, , ,B2,The plaster on the walls has been removed to expose the original bricks underneath.,Duvarlardaki sıvalar sökülerek alttaki orijinal tuğlalar ortaya çıkarıldı.,0
2912,extend,verb,uzatmak,Oxford-3000, , ,B2,We have plans to extend our house (= to make it bigger).,Evimizi genişletmeyi (= daha büyük yapmayı) planlıyoruz.,0
2913,flash,verb,flaş,Oxford-3000, , ,B2,Stop flashing that light in my eyes!,Gözlerime o ışığı tutmayı bırak!,0
2914,float,verb,batmadan yüzmek,Oxford-3000, , ,B2,An empty bottle will float.,Boş şişe yüzer.,0
2915,forgive,verb,affetmek,Oxford-3000, , ,B2,I don't think she's ever quite forgiven me for getting her name wrong that time.,Sanırım o zamanlar ismini yanlış söylediğim için beni hiç affetmedi.,0
2916,found,verb,kurmak,Oxford-3000, , ,B2,Boston was founded in 1630 by Puritan colonists from England.,Boston; 1630 yılında İngiltere'den gelen Püriten sömürgeciler tarafından kuruldu.,0
2917,gain,verb,kazanmak,Oxford-3000, , ,B2,The mayor has gained a lot of support from the teacher's union.,Öğretmen sendikasından belediye başkanına büyük destek geldi.,0
2918,generate,verb,üretmek,Oxford-3000,,,B2,We need to generate new ideas,Yeni fikirler üretmemiz gerekiyor,0
2919,govern,verb,yönetmek,Oxford-3000, , ,B2,The country has been governed by military regimes.,Ülke askeri rejimlerle yönetildi.,0
2920,grab,verb,yakalamak,Oxford-3000, , ,B2,A mugger grabbed her handbag as she was walking across the park.,Parkta yürürken bir soyguncu çantasını kaptı.,0
2921,hesitate,verb,tereddüt etmek,Oxford-3000, , ,B2,She hesitated slightly before answering the detective's question.,Dedektifin sorusuna cevap vermeden önce biraz tereddüt etti.,0
2922,illustrate,verb,resimlemek,Oxford-3000, , ,B2,The lecturer illustrated his point with a diagram on the blackboard.,Öğretmen anlatmak istediği konuyu tahtaya çizdiği bir şema ile anlattı.,0
2923,imply,verb,ima etmek,Oxford-3000, , ,B2,Are you implying (that) I'm fat?,Benim şişman olduğumu mu ima ediyorsun?,0
2924,impose,verb,empoze etmek,Oxford-3000, , ,B2,Very high taxes have recently been imposed on cigarettes.,Son dönemde sigaraya çok yüksek vergiler konuldu.,0
2925,impress,verb,etkilemek,Oxford-3000, , ,B2,I remember when I was a child being very impressed with how many toys she had.,Çocukken onun ne kadar çok oyuncağı olduğunu görünce çok etkilendiğimi hatırlıyorum.,0
2926,inform,verb,bilgi vermek,Oxford-3000, , ,B2,The name of the dead man will not be released until his relatives have been informed.,Ölen kişinin ismi; yakınlarına haber verilinceye kadar açıklanmayacak.,0
2927,insist,verb,ısrar etmek,Oxford-3000, , ,B2,Greg still insists (that) he did nothing wrong.,Greg hala hiçbir yanlış yapmadığı konusunda ısrar ediyor.,0
2928,inspire,verb,ilham vermek,Oxford-3000, , ,B2,His confident leadership inspired his followers.,Kendine güvenen liderliği takipçilerine ilham kaynağı oldu.,0
2929,install,verb,düzenlemek,Oxford-3000, , ,B2,The plumber is coming tomorrow to install the new washing machine.,Yarın tesisatçı gelip yeni çamaşır makinesini takacak.,0
2930,interpret,verb,yorumlamak,Oxford-3000, , ,B2,It's difficult to interpret these statistics without knowing how they were obtained.,Bu istatistiklerin nasıl elde edildiğini bilmeden yorumlamak zordur.,0
2931,interrupt,verb,yarıda kesmek,Oxford-3000, , ,B2,She tried to explain what had happened but he kept interrupting her.,Olanları anlatmaya çalıştı ama adam sürekli sözünü kesiyordu.,0
2932,justify,verb,savunmak,Oxford-3000, , ,B2,I can't really justify taking another day off work.,Gerçekten bir gün daha işten izin almayı haklı çıkaramıyorum.,0
2933,lean,verb,eğilmek,Oxford-3000, , ,B2,She leaned forward and whispered something in my ear.,Öne doğru eğilip kulağıma bir şeyler fısıldadı.,0
2934,lower,verb,daha düşük,Oxford-3000, , ,B2,They lowered the coffin into the grave.,Tabutu mezara indirdiler.,0
2935,maintain,verb,sürdürmek,Oxford-3000, , ,B2,The army has been brought in to maintain order in the region.,Bölgede asayişin sağlanması için ordu görevlendirildi.,0
2936,melt,verb,eritmek,Oxford-3000, , ,B2,The snow usually melts by mid March.,Kar genellikle mart ayının ortalarında erir.,0
2937,modify,verb,değiştirmek,Oxford-3000, , ,B2,Instead of simply punishing them; the system encourages offenders to modify their behaviour.,Sistem; suçluları sadece cezalandırmak yerine davranışlarını değiştirmeye teşvik ediyor.,0
2938,mount,verb,dağ,Oxford-3000, , ,B2,The children's excitement is mounting as Christmas gets nearer.,Noel yaklaştıkça çocukların heyecanı da artıyor.,0
2939,multiply,verb,çarpmak,Oxford-3000, , ,B2,If you multiply seven by 15 you get 105.,Yediyi 15 ile çarparsanız 105 elde edersiniz.,0
2940,obey,verb,itaat etmek,Oxford-3000, , ,B2,The soldiers refused to obey (orders).,Askerler emirlere uymayı reddettiler.,0
2941,observe,verb,gözlemlemek,Oxford-3000, , ,B2,The role of scientists is to observe and describe the world; not to try to control it.,Bilim insanlarının rolü dünyayı gözlemlemek ve tanımlamaktır; onu kontrol etmeye çalışmak değil.,0
2942,obtain,verb,elde etmek,Oxford-3000, , ,B2,First editions of these books are now almost impossible to obtain.,Bu kitapların ilk baskılarını bulmak artık neredeyse imkânsız hale geldi.,0
2943,offend,verb,gücendirmek,Oxford-3000, , ,B2,I think she was offended that she hadn't been invited to the party.,Sanırım partiye davet edilmediği için kırılmıştı.,0
2944,operate,verb,işletmek,Oxford-3000, , ,B2,How do you operate the remote control unit?,Uzaktan kumanda ünitesini nasıl çalıştırıyorsunuz?,0
2945,oppose,verb,karşı çıkmak,Oxford-3000, , ,B2,The proposed new testing system has been vigorously opposed by teachers.,Önerilen yeni sınav sistemi öğretmenler tarafından şiddetle karşı çıktı.,0
2946,owe,verb,sahip olmak,Oxford-3000, , ,B2,I owe Janet $50.,Janet'e 50 dolar borcum var.,0
2947,permit,verb,izin vermek,Oxford-3000, , ,B2,The regulations do not permit much flexibility.,Mevzuat çok fazla esnekliğe izin vermiyor.,0
2948,pose,verb,poz,Oxford-3000, , ,B2,Nuclear weapons pose a threat to everyone.,Nükleer silahlar herkes için tehdit oluşturuyor.,0
2949,possess,verb,elinde bulundurmak,Oxford-3000, , ,B2,I don't possess a single DVD (= I don't have even one DVD).,Benim tek bir DVD'm bile yok.,0
2950,praise,verb,övmek,Oxford-3000, , ,B2,He should be praised for his honesty.,Dürüstlüğünden dolayı takdir edilmesi gerekir.,0
2951,preserve,verb,korumak,Oxford-3000, , ,B2,We want to preserve the character of the town while improving the facilities.,Kentin karakterini korurken aynı zamanda tesisleri de iyileştirmek istiyoruz.,0
2952,propose,verb,önermek,Oxford-3000, , ,B2,I propose that we wait until the budget has been announced before committing ourselves to any expenditure.,Herhangi bir harcamaya girişmeden önce bütçenin açıklanmasını beklemeyi öneriyorum.,0
2953,purchase,verb,satın almak,Oxford-3000, , ,B2,Tickets must be purchased two weeks in advance.,Biletlerin iki hafta önceden satın alınması gerekiyor.,0
2954,pursue,verb,izlemek,Oxford-3000, , ,B2,The car was pursued by helicopters.,Araba helikopterlerle takip edildi.,0
2955,recall,verb,hatırlamak,Oxford-3000, , ,B2,The old man recalled the city as it had been before the war.,Yaşlı adam; şehrin savaştan önceki halini hatırlıyordu.,0
2956,recover,verb,iyileşmek,Oxford-3000, , ,B2,He never really recovered from the shock of his wife dying.,Karısının ölümünün şokundan hiçbir zaman tam olarak kurtulamadı.,0
2957,regard,verb,saygınlık,Oxford-3000, , ,B2,Environmentalists regard GM technology with suspicion.,Çevreciler GDO teknolojisine şüpheyle yaklaşıyor.,0
2958,register,verb,kayıt olmak,Oxford-3000,,,B2,You need to register to vote,Oy kullanmak için kayıt olmanız gerekiyor,0
2959,rely,verb,güvenmek,Oxford-3000, , ,B2,I rely on you for good advice.,İyi tavsiyeleriniz için size güveniyorum.,0
2960,remark,verb,açıklama,Oxford-3000, , ,B2,"Dr Johnson once remarked (that) ""When a man is tired of London; he is tired of life.""","Dr. Johnson bir keresinde şöyle demişti: ""Bir adam Londra'dan yorulduysa; hayattan yorulmuştur.""",0
2961,rescue,verb,kurtarmak,Oxford-3000, , ,B2,The lifeboat rescued the sailors from the sinking boat.,Can kurtarma botu batan teknedeki denizcileri kurtardı.,0
2962,reserve,verb,rezerv,Oxford-3000, , ,B2,I reserve Mondays for tidying my desk and answering letters.,Pazartesi günlerini masamı toplamak ve mektuplara cevap vermek için ayırıyorum.,0
2963,resist,verb,direnmek,Oxford-3000, , ,B2,The soldiers resisted (the enemy attacks) for two days.,Askerler iki gün boyunca (düşman saldırılarına) karşı koydular.,0
2964,resolve,verb,çözmek,Oxford-3000, , ,B2,Have you resolved the problem of transport yet?,Ulaşım sorununu çözdünüz mü?,0
2965,retain,verb,sürdürmek,Oxford-3000, , ,B2,She has lost her battle to retain control of the company.,Şirketin kontrolünü elinde tutma mücadelesini kaybetmiştir.,0
2966,reveal,verb,ortaya çıkarmak,Oxford-3000, , ,B2,He was jailed for revealing secrets to the Russians.,Ruslara sırları ifşa ettiği gerekçesiyle hapse atıldı.,0
2967,rub,verb,ovmak,Oxford-3000, , ,B2,She yawned and rubbed her eyes sleepily.,Esnedi ve uykulu bir şekilde gözlerini ovuşturdu.,0
2968,rush,verb,acele etmek,Oxford-3000, , ,B2,I've been rushing (about/around) all day trying to get everything done.,Bütün gün her şeyi yetiştirmeye çalışarak koşturuyorum.,0
2969,satisfy,verb,tatmin etmek,Oxford-3000, , ,B2,They have 31 flavours of ice cream - enough to satisfy everyone!,31 çeşit dondurma çeşidi var - herkesi memnun edecek kadar!,0
2970,scream,verb,bağırmak,Oxford-3000, , ,B2,A spider landed on her pillow and she screamed.,Yastığına bir örümcek kondu ve çığlık attı.,0
2971,seek,verb,aramak,Oxford-3000, , ,B2,Hundreds of dissidents are seeking refuge/asylum in the US embassy.,Yüzlerce muhalif ABD Büyükelçiliği'ne sığınma/iltica talebinde bulunuyor.,0
2972,select,verb,seçme,Oxford-3000, , ,B2,There was a choice of four prizes; and the winner could select one of them.,Dört ödül seçeneği vardı ve kazanan bunlardan birini seçebiliyordu.,0
2973,settle,verb,yerleşmek,Oxford-3000, , ,B2,Good; that's all settled - you send out the invitations for the party; and I'll organize the food.,Tamam; her şey tamam - sen partinin davetiyelerini gönder; ben de yemekleri organize edeyim.,0
2974,shot,verb,atış,Oxford-3000, , ,B2,And that was a great shot by Márquez!,Ve bu Márquez'in muhteşem bir şutuydu!,0
2975,slide,verb,slayt,Oxford-3000, , ,B2,We have one of those doors in the kitchen that slides open.,Mutfağımızda sürgülü açılan bir kapımız var.,0
2976,slip,verb,kayma,Oxford-3000, , ,B2,She slipped on the ice.,Buzda kaydı.,0
2977,split,verb,bölmek,Oxford-3000, , ,B2,The prize was split between Susan and Kate.,Ödül Susan ve Kate arasında paylaştırıldı.,0
